FP2-F4 ,F4 -C4 ,C4 -P4 ,P4 -O2 ,FP2-F8 ,F8 -T4 ,T4 -T6 ,T6 -O2 ,FP1-F3 ,F3 -C3 ,C3 -P3 ,P3 -O1 ,FP1-F7 ,F7 -T3 ,T3 -T5 ,T5 -O1 ,T6 -A1 ,O1 -A1 ,O2 -A1 
45,-704,-371,-128,63,-384,-484,177,265,211,191,-502,103,370,378,148,-192,233,525
30,-786,-418,94,37,-380,-526,403,320,186,194,-528,195,325,402,156,-240,231,315
-33,-953,-506,444,-12,-407,-621,757,415,154,213,-586,338,273,473,154,-334,279,1
-118,-1094,-574,911,-86,-404,-703,1190,510,97,216,-618,508,179,526,126,-441,329,-454
-170,-1090,-566,1486,-189,-304,-707,1655,568,-8,168,-544,677,-3,500,72,-522,321,-1089
-173,-961,-498,2032,-294,-139,-643,2050,580,-132,83,-389,806,-222,408,13,-563,257,-1743
-145,-834,-431,2375,-364,-6,-580,2283,573,-217,14,-256,870,-377,324,-22,-578,192,-2178
-101,-790,-408,2468,-384,41,-565,2346,568,-239,-8,-209,876,-420,295,-20,-582,163,-2307
-59,-807,-421,2400,-372,27,-582,2296,564,-221,5,-224,850,-391,305,2,-581,162,-2232
-39,-819,-434,2288,-354,5,-587,2200,551,-199,19,-246,816,-356,313,17,-573,165,-2107
-49,-792,-427,2193,-342,1,-563,2101,530,-194,22,-247,785,-345,300,10,-556,163,-2017
-71,-747,-406,2122,-335,9,-529,2017,511,-200,17,-235,759,-351,280,-5,-536,161,-1960
-78,-712,-391,2063,-330,14,-509,1956,502,-204,15,-227,741,-354,268,-8,-518,161,-1908
-66,-697,-390,2005,-324,11,-510,1909,503,-200,18,-227,728,-345,268,5,-504,162,-1848
-52,-693,-393,1939,-314,5,-516,1863,506,-192,22,-230,715,-326,271,22,-491,160,-1779
-50,-684,-387,1867,-300,1,-513,1807,500,-184,20,-227,695,-309,268,26,-478,155,-1713
-58,-661,-370,1804,-290,4,-497,1746,482,-182,12,-216,672,-300,257,11,-465,147,-1664
-60,-629,-352,1757,-286,14,-477,1692,463,-182,1,-201,653,-301,244,-7,-452,140,-1632
-54,-606,-340,1714,-283,20,-463,1644,447,-179,-6,-189,640,-302,239,-15,-445,132,-1597
-50,-602,-335,1658,-277,13,-456,1591,434,-168,-4,-187,629,-295,245,-11,-441,125,-1539
-56,-606,-330,1591,-269,1,-448,1532,422,-155,3,-189,615,-281,249,-2,-437,122,-1467
-66,-597,-317,1531,-265,-1,-431,1474,405,-146,5,-184,599,-275,241,4,-429,115,-1410
-71,-568,-296,1490,-267,7,-408,1428,385,-144,0,-168,582,-279,224,3,-416,103,-1383
-71,-541,-278,1457,-270,14,-391,1391,371,-145,-6,-154,566,-282,212,0,-403,92,-1362
-73,-536,-276,1416,-271,7,-391,1358,366,-142,-5,-157,552,-272,211,-1,-390,94,-1321
-83,-546,-284,1365,-271,-9,-400,1324,364,-134,1,-171,538,-255,220,-2,-381,103,-1264
-99,-544,-285,1317,-272,-24,-400,1286,358,-130,5,-178,522,-244,223,-8,-372,107,-1217
-118,-519,-269,1278,-279,-27,-384,1245,344,-133,1,-168,503,-244,214,-17,-361,100,-1192
-135,-490,-250,1243,-290,-26,-363,1203,326,-136,-5,-152,483,-248,198,-21,-351,87,-1173
-151,-483,-243,1201,-297,-36,-352,1160,310,-130,-4,-148,466,-239,189,-13,-349,77,-1136
-164,-497,-248,1152,-298,-56,-350,1116,303,-118,0,-154,451,-220,186,0,-353,74,-1082
-173,-503,-252,1110,-298,-70,-344,1075,301,-111,-1,-154,440,-204,178,12,-354,70,-1036
-179,-485,-245,1083,-299,-70,-329,1037,296,-113,-12,-140,430,-202,156,15,-347,63,-1013
-182,-457,-232,1059,-297,-65,-312,1000,290,-120,-25,-125,420,-204,133,10,-337,57,-999
-186,-446,-225,1026,-292,-67,-306,967,286,-124,-26,-125,407,-198,126,3,-329,59,-969
-191,-453,-228,981,-287,-79,-312,934,280,-122,-16,-139,391,-183,137,-3,-326,67,-922
-198,-457,-227,931,-284,-90,-316,898,267,-119,-7,-149,371,-173,149,-11,-323,72,-874
-207,-440,-214,886,-287,-92,-307,857,242,-123,-6,-141,346,-175,149,-20,-315,67,-841
-216,-413,-197,849,-290,-90,-291,818,213,-130,-8,-122,320,-182,141,-26,-307,55,-823
-223,-402,-189,816,-290,-96,-281,786,191,-132,-7,-110,302,-183,137,-26,-305,45,-803
-224,-409,-192,784,-283,-109,-282,762,182,-129,1,-113,291,-174,141,-20,-309,42,-775
-216,-417,-195,757,-271,-119,-283,743,181,-127,8,-119,284,-163,143,-16,-311,43,-748
-202,-407,-190,743,-258,-118,-271,722,183,-131,8,-115,278,-162,139,-19,-307,40,-735
-187,-386,-181,734,-245,-109,-254,699,187,-137,1,-105,275,-166,132,-28,-299,34,-730
-170,-374,-176,718,-229,-102,-243,675,196,-135,-5,-101,275,-162,130,-33,-289,32,-710
-153,-378,-178,690,-211,-103,-241,650,208,-123,-7,-106,276,-148,136,-30,-280,37,-669
-134,-381,-179,660,-193,-103,-240,626,219,-108,-9,-107,277,-133,137,-19,-272,41,-628
-116,-366,-167,636,-177,-94,-232,605,225,-99,-15,-98,279,-128,128,-7,-262,40,-605
-98,-337,-149,615,-160,-81,-214,585,228,-98,-20,-86,282,-132,113,-1,-251,39,-597
-81,-313,-135,592,-142,-73,-198,568,233,-99,-20,-79,287,-136,106,4,-242,41,-585
-63,-305,-131,564,-123,-72,-193,553,242,-96,-14,-80,293,-131,110,9,-237,46,-561
-41,-301,-131,532,-105,-70,-195,536,252,-93,-6,-84,298,-124,118,12,-232,51,-531
-18,-291,-128,506,-89,-61,-193,515,258,-94,1,-84,301,-121,123,8,-222,52,-506
3,-276,-122,488,-75,-48,-186,493,258,-97,7,-80,303,-122,119,-1,-207,53,-487
17,-265,-119,473,-64,-37,-183,472,255,-97,14,-82,302,-117,114,-9,-193,57,-464
27,-267,-123,456,-55,-33,-187,455,253,-91,24,-90,300,-103,113,-12,-182,64,-435
32,-272,-127,441,-49,-35,-189,443,249,-83,34,-99,294,-88,115,-12,-175,68,-409
34,-268,-124,432,-46,-40,-181,432,238,-79,35,-96,282,-80,113,-14,-168,66,-396
31,-255,-115,424,-45,-43,-165,418,221,-80,28,-81,265,-76,106,-17,-163,59,-391
26,-245,-106,412,-45,-48,-148,401,204,-81,19,-67,246,-72,96,-18,-160,52,-383
24,-247,-104,396,-40,-60,-136,382,191,-80,13,-62,230,-63,90,-17,-161,51,-365
26,-253,-104,378,-32,-73,-127,362,181,-77,12,-65,217,-54,87,-16,-163,56,-342
30,-249,-103,361,-26,-80,-117,342,172,-74,10,-66,209,-54,82,-15,-161,59,-322
33,-235,-100,346,-21,-80,-105,322,162,-69,7,-65,206,-63,77,-17,-156,60,-309
37,-222,-95,329,-14,-82,-95,306,153,-63,6,-67,206,-75,79,-21,-149,61,-296
43,-219,-94,308,-5,-89,-94,294,148,-57,11,-71,206,-85,91,-24,-141,61,-279
50,-221,-93,287,4,-96,-97,284,145,-53,16,-75,204,-91,105,-25,-135,59,-259
59,-222,-89,269,10,-97,-97,271,140,-52,18,-72,198,-93,113,-25,-131,55,-243
65,-216,-82,254,14,-92,-92,255,133,-52,16,-64,187,-92,112,-25,-129,46,-234
66,-208,-77,235,13,-85,-85,231,124,-52,14,-56,173,-84,107,-24,-131,35,-222
65,-205,-76,200,10,-78,-81,192,117,-47,15,-52,161,-72,105,-23,-136,26,-190
63,-204,-81,145,5,-72,-80,133,111,-43,15,-50,152,-60,104,-21,-140,21,-131
61,-198,-85,72,3,-68,-80,57,106,-44,14,-46,145,-56,102,-21,-139,19,-56
63,-191,-86,-13,5,-64,-82,-30,101,-51,12,-39,141,-60,96,-22,-130,19,32
65,-188,-84,-102,8,-61,-87,-117,98,-58,6,-33,140,-67,87,-22,-117,26,126
66,-190,-84,-176,13,-63,-93,-188,97,-62,-2,-31,141,-74,78,-19,-102,39,209
67,-191,-86,-222,17,-67,-99,-229,98,-60,-7,-31,142,-76,70,-12,-87,51,266
67,-185,-88,-240,18,-67,-99,-244,99,-54,-11,-31,142,-75,62,-4,-77,56,290
65,-174,-86,-243,14,-63,-91,-248,97,-46,-13,-28,140,-72,56,2,-73,54,293
60,-163,-80,-243,7,-56,-81,-250,92,-39,-12,-25,133,-67,57,3,-74,44,286
56,-157,-73,-244,1,-50,-74,-250,85,-33,-7,-21,123,-58,65,3,-81,30,278
53,-156,-67,-246,-5,-44,-70,-248,76,-27,-2,-18,111,-49,77,0,-89,16,269
52,-155,-59,-248,-10,-39,-67,-247,67,-23,4,-15,99,-42,89,-5,-95,1,261
52,-150,-52,-247,-9,-35,-62,-246,60,-20,8,-12,90,-36,97,-11,-98,-10,252
51,-144,-49,-240,-5,-35,-58,-243,57,-20,12,-13,84,-29,99,-19,-95,-15,246
50,-141,-51,-232,2,-39,-57,-239,58,-19,17,-18,82,-22,98,-24,-90,-13,245
51,-143,-54,-228,11,-46,-57,-240,59,-20,23,-23,82,-16,95,-25,-84,-8,252
55,-146,-55,-230,20,-55,-54,-245,59,-24,25,-24,82,-14,89,-25,-78,1,263
60,-148,-55,-233,27,-61,-50,-252,55,-30,23,-20,81,-15,79,-24,-72,11,273
65,-148,-55,-237,30,-65,-44,-259,51,-38,18,-12,80,-21,70,-21,-68,19,279
68,-148,-53,-243,30,-65,-38,-266,47,-45,13,-5,77,-24,64,-21,-69,26,282
70,-149,-51,-252,25,-61,-34,-275,44,-49,11,-5,72,-23,60,-23,-74,30,286
69,-147,-50,-260,19,-54,-32,-284,40,-50,12,-10,64,-18,56,-25,-80,31,289
67,-140,-48,-267,17,-48,-31,-291,36,-48,16,-15,55,-13,56,-26,-83,28,289
63,-131,-44,-272,17,-42,-31,-295,33,-42,23,-22,46,-8,59,-28,-84,24,288
61,-124,-42,-275,20,-40,-30,-297,31,-37,31,-31,40,-5,63,-28,-85,20,287
59,-119,-40,-275,24,-41,-30,-297,33,-34,38,-38,38,-4,65,-24,-86,17,286
56,-118,-39,-274,26,-43,-31,-294,37,-32,38,-39,38,-5,64,-19,-84,16,284
53,-120,-37,-270,25,-43,-34,-292,39,-32,32,-36,38,-6,59,-15,-80,18,284
49,-122,-37,-266,22,-42,-38,-290,36,-31,24,-30,35,-7,51,-11,-76,18,283
45,-122,-39,-263,23,-43,-43,-288,30,-26,15,-23,29,-3,43,-6,-73,17,282
43,-120,-44,-261,27,-45,-49,-286,26,-18,6,-16,24,6,37,-3,-70,16,282
44,-114,-49,-261,33,-45,-52,-287,25,-13,-1,-11,21,13,35,-4,-69,16,283
46,-104,-52,-265,37,-42,-51,-292,29,-13,-4,-10,20,20,32,-6,-72,14,283
49,-95,-52,-273,39,-36,-48,-299,33,-17,-5,-11,19,26,28,-11,-77,12,284
51,-89,-47,-286,38,-29,-47,-308,36,-22,-3,-14,17,30,26,-16,-79,14,288
51,-88,-42,-298,35,-22,-48,-316,35,-26,1,-19,14,30,25,-20,-80,17,294
49,-88,-37,-308,31,-20,-51,-319,29,-29,8,-25,11,28,26,-23,-81,16,296
44,-90,-31,-314,26,-21,-53,-318,23,-29,17,-32,10,22,31,-27,-79,14,295
39,-91,-28,-315,22,-25,-53,-315,20,-27,25,-40,12,15,39,-34,-76,14,293
34,-90,-29,-311,19,-33,-49,-311,24,-25,30,-49,17,12,45,-41,-71,15,291
31,-90,-32,-307,16,-39,-46,-307,33,-22,32,-56,23,15,49,-49,-64,19,295
30,-90,-35,-305,16,-44,-43,-307,44,-18,26,-59,28,19,52,-55,-56,25,301
31,-89,-34,-306,18,-49,-38,-308,50,-13,16,-55,28,23,53,-57,-50,30,308
33,-88,-34,-308,21,-52,-33,-312,51,-8,6,-46,25,25,52,-52,-47,31,313
37,-87,-35,-312,24,-54,-30,-317,49,-6,0,-36,19,26,50,-40,-46,26,318
40,-87,-36,-318,25,-55,-27,-324,44,-5,-1,-28,10,26,48,-28,-49,18,321
41,-85,-35,-325,25,-53,-26,-330,36,-4,2,-26,0,26,45,-18,-51,11,324
41,-82,-33,-332,24,-49,-27,-335,28,-2,5,-25,-8,27,42,-11,-47,9,332
40,-78,-30,-338,23,-42,-31,-337,25,-1,7,-23,-11,30,39,-8,-38,11,342
35,-75,-25,-342,19,-35,-35,-338,23,0,7,-20,-11,33,38,-8,-27,17,352
28,-72,-19,-343,14,-27,-39,-337,22,0,6,-15,-8,34,37,-10,-17,24,360
22,-70,-17,-341,10,-21,-41,-336,21,-2,7,-10,-5,35,37,-11,-9,31,367
17,-68,-18,-336,7,-17,-41,-337,20,-4,9,-8,-4,37,37,-15,-6,37,370
14,-65,-22,-332,5,-15,-39,-341,17,-5,11,-10,-7,39,39,-20,-7,41,371
16,-63,-28,-330,7,-15,-37,-345,11,-2,11,-13,-12,42,39,-25,-10,45,371
20,-62,-34,-329,11,-16,-37,-347,6,3,8,-18,-18,45,39,-30,-13,46,370
24,-61,-40,-329,14,-19,-37,-349,4,8,5,-21,-21,45,40,-34,-15,47,369
27,-62,-42,-330,17,-24,-36,-350,5,10,1,-23,-21,44,40,-35,-16,46,368
28,-63,-42,-330,21,-29,-33,-351,7,12,0,-23,-18,43,35,-31,-16,43,368
28,-59,-41,-330,24,-32,-31,-350,9,13,2,-21,-14,41,32,-24,-15,38,367
28,-53,-39,-331,28,-34,-28,-349,9,14,6,-17,-10,38,32,-15,-12,31,368
29,-46,-37,-334,31,-32,-25,-349,6,17,10,-9,-7,34,33,-5,-10,23,370
31,-37,-37,-338,33,-27,-23,-351,1,20,14,-1,-4,29,35,5,-8,14,373
34,-31,-38,-342,33,-21,-24,-353,-3,20,16,5,-3,24,37,9,-5,10,378
40,-32,-40,-346,35,-18,-26,-357,-6,16,14,6,-3,19,37,5,-1,14,384
47,-40,-40,-347,38,-18,-29,-360,-8,11,7,3,-4,14,35,-3,3,25,391
53,-50,-42,-348,40,-20,-31,-363,-8,4,-1,0,-8,12,31,-12,7,35,398
56,-57,-44,-346,40,-24,-31,-365,-9,-2,-6,-1,-15,12,27,-17,11,43,402
54,-59,-48,-344,37,-27,-28,-367,-14,-6,-10,2,-22,14,27,-21,13,46,406
49,-56,-52,-342,29,-27,-24,-368,-20,-7,-13,8,-28,15,29,-23,13,46,407
41,-48,-56,-339,19,-24,-19,-368,-24,-4,-16,13,-31,17,30,-22,12,44,404
34,-39,-59,-337,11,-20,-17,-366,-25,2,-17,14,-30,19,30,-21,13,43,402
29,-32,-62,-334,7,-17,-17,-362,-24,8,-21,12,-27,20,27,-21,16,45,402
27,-29,-63,-332,8,-18,-18,-359,-21,14,-25,7,-26,22,23,-22,22,49,403
25,-28,-62,-331,10,-21,-17,-359,-22,17,-26,0,-28,23,19,-22,26,51,407
23,-30,-61,-333,12,-26,-14,-364,-26,17,-21,-5,-31,21,20,-22,28,50,414
18,-33,-59,-336,10,-32,-9,-370,-33,13,-12,-7,-35,15,25,-22,27,48,418
13,-34,-56,-337,6,-35,-3,-374,-39,7,-3,-7,-37,6,32,-21,22,43,416
8,-35,-51,-340,-1,-34,2,-375,-43,1,5,-4,-38,-1,38,-19,14,37,410
7,-34,-45,-342,-8,-29,6,-375,-42,-4,10,-1,-37,-8,43,-15,8,32,403
7,-32,-41,-342,-13,-23,8,-373,-36,-7,10,2,-34,-11,45,-11,3,29,394
9,-29,-37,-340,-16,-18,11,-367,-27,-7,6,4,-29,-10,43,-9,-1,24,384
12,-26,-34,-338,-15,-16,14,-360,-18,-3,1,3,-22,-9,40,-8,-2,20,376
15,-25,-31,-336,-14,-16,16,-355,-11,2,-5,0,-15,-9,37,-8,-2,16,371
13,-24,-30,-331,-12,-20,18,-350,-8,9,-9,-2,-10,-7,32,-7,-2,12,365
8,-27,-29,-325,-14,-26,18,-344,-9,14,-13,-2,-6,-5,25,-7,-1,11,359
1,-34,-28,-322,-18,-33,17,-342,-12,14,-16,2,-4,-3,18,-5,1,14,359
-7,-40,-27,-321,-23,-37,17,-345,-17,12,-19,8,-5,-3,13,-3,3,20,364
-15,-43,-28,-321,-28,-37,17,-351,-20,7,-20,14,-9,-3,11,-2,3,26,370
-21,-42,-29,-323,-32,-36,16,-357,-19,0,-18,16,-12,-2,11,-3,2,29,374
-24,-38,-30,-324,-30,-34,14,-360,-16,-8,-14,17,-17,-3,14,0,2,27,377
-22,-34,-31,-324,-25,-31,10,-359,-13,-13,-8,16,-24,-1,16,5,2,20,375
-17,-32,-33,-322,-21,-29,8,-356,-8,-18,-2,12,-32,5,14,12,0,10,371
-11,-33,-32,-321,-17,-29,7,-352,-3,-20,2,9,-37,10,11,18,-3,-2,363
-6,-35,-29,-320,-14,-31,9,-348,0,-19,3,5,-37,12,8,19,-5,-9,356
-4,-37,-27,-320,-15,-32,13,-347,2,-14,2,0,-31,13,6,15,-8,-8,353
-3,-36,-27,-321,-16,-34,20,-351,3,-7,-1,-7,-22,14,2,7,-11,-1,352
-5,-32,-26,-323,-18,-35,26,-355,1,-1,-3,-12,-14,14,1,-2,-13,10,354
-9,-28,-28,-325,-20,-38,29,-356,-4,5,-5,-13,-11,14,1,-9,-12,18,357
-11,-24,-32,-327,-20,-42,29,-356,-11,8,-7,-11,-15,18,-3,-8,-10,19,357
-11,-20,-35,-331,-21,-46,29,-353,-13,8,-8,-6,-25,26,-7,-1,-11,10,354
-9,-16,-38,-333,-22,-49,28,-348,-13,6,-9,-1,-37,33,-8,7,-14,-6,346
-8,-13,-40,-332,-22,-50,25,-340,-10,3,-10,3,-48,39,-8,14,-18,-22,334
-8,-10,-42,-325,-22,-50,23,-331,-6,-4,-9,1,-55,41,-7,15,-20,-29,321
-8,-10,-43,-314,-23,-48,23,-323,-2,-12,-5,-5,-60,39,-3,10,-20,-25,313
-10,-11,-44,-303,-24,-46,24,-318,0,-20,-1,-12,-61,32,3,3,-17,-12,312
-14,-14,-46,-293,-27,-43,25,-317,-2,-24,1,-15,-60,22,9,-3,-10,3,317
-16,-19,-46,-285,-28,-41,25,-317,-6,-25,0,-14,-57,14,15,-6,-3,15,324
-15,-26,-43,-278,-28,-41,27,-316,-7,-20,-3,-8,-51,8,19,-4,2,20,327
-11,-31,-38,-275,-27,-41,31,-313,-7,-11,-8,1,-43,6,21,0,2,15,324
-5,-34,-30,-276,-23,-40,33,-311,-9,0,-11,11,-37,11,21,6,-2,3,318
0,-35,-21,-279,-20,-38,35,-306,-13,7,-9,18,-37,20,16,12,-6,-10,309
2,-34,-13,-283,-22,-38,36,-300,-17,9,-5,19,-39,29,8,16,-11,-21,297
2,-30,-8,-291,-24,-39,37,-297,-23,8,-1,16,-43,34,0,18,-17,-28,289
0,-23,-6,-298,-25,-43,37,-294,-29,7,1,11,-49,36,-6,17,-21,-28,282
-3,-17,-7,-298,-24,-47,36,-287,-33,4,0,5,-55,35,-10,14,-22,-25,272
-2,-11,-9,-289,-20,-51,34,-271,-32,1,-3,1,-56,30,-10,11,-23,-21,256
6,-6,-12,-272,-9,-54,31,-250,-27,2,-6,-4,-54,25,-5,7,-23,-18,234
16,-2,-17,-249,3,-55,30,-226,-22,8,-9,-8,-52,24,2,2,-22,-17,211
25,-1,-20,-221,11,-53,29,-200,-18,15,-11,-10,-52,27,7,1,-21,-19,186
30,-3,-20,-194,14,-51,29,-177,-12,20,-13,-10,-53,33,9,3,-21,-23,163
29,-6,-20,-174,13,-49,30,-162,-7,22,-15,-10,-54,38,10,4,-22,-26,147
23,-8,-19,-164,9,-48,31,-158,-4,20,-16,-9,-55,40,11,2,-22,-25,142
13,-11,-18,-170,2,-47,31,-169,-3,13,-15,-7,-57,41,12,-1,-22,-23,153
4,-13,-20,-195,-6,-45,29,-198,-1,5,-13,-5,-57,42,12,-5,-22,-22,183
-1,-14,-21,-239,-11,-44,24,-243,-1,-2,-11,-5,-57,41,13,-11,-20,-20,229
-3,-16,-22,-292,-14,-42,20,-294,-2,-3,-10,-9,-57,41,14,-15,-16,-16,284
-5,-18,-21,-345,-16,-41,13,-342,-3,-2,-7,-14,-59,42,11,-15,-12,-13,337
-9,-20,-15,-389,-18,-41,6,-379,-4,-2,-5,-19,-63,44,6,-10,-9,-15,375
-18,-21,-8,-417,-20,-44,2,-399,-6,-1,-1,-24,-70,45,1,-3,-10,-17,394
-30,-20,-4,-425,-24,-48,-1,-404,-12,0,3,-27,-76,44,0,2,-13,-19,396
-45,-18,-4,-421,-30,-52,-1,-402,-19,-1,4,-26,-82,42,0,4,-18,-22,389
-60,-15,-8,-415,-40,-54,1,-403,-27,-2,2,-20,-85,38,4,2,-25,-26,383
-74,-13,-13,-410,-49,-56,5,-408,-33,-5,-4,-12,-86,33,11,-5,-31,-27,381
-85,-13,-18,-406,-57,-60,9,-411,-34,-8,-11,-5,-82,26,18,-14,-34,-23,382
-91,-14,-19,-404,-61,-66,10,-411,-30,-12,-18,0,-75,19,23,-21,-34,-19,382
-95,-16,-19,-403,-61,-73,11,-408,-21,-13,-23,2,-68,14,26,-23,-34,-19,378
-99,-17,-17,-400,-59,-83,11,-400,-12,-13,-27,2,-63,12,25,-19,-35,-20,369
-107,-17,-16,-395,-60,-90,8,-391,-8,-8,-31,0,-62,12,22,-14,-39,-23,356
-120,-17,-16,-388,-68,-93,2,-381,-13,0,-37,-1,-66,11,18,-9,-44,-27,341
-141,-18,-16,-381,-84,-93,-5,-372,-28,8,-42,-1,-76,10,14,-7,-51,-30,326
-167,-19,-15,-376,-107,-92,-10,-365,-52,11,-45,-2,-92,10,10,-11,-58,-30,311
-195,-22,-11,-373,-133,-94,-12,-360,-79,9,-45,-4,-115,9,9,-18,-67,-32,296
-222,-26,-8,-368,-158,-100,-11,-355,-108,4,-41,-4,-139,6,12,-24,-77,-37,281
-246,-31,-6,-364,-179,-109,-5,-351,-135,-3,-30,-6,-163,2,18,-28,-88,-48,266
-265,-35,-6,-358,-194,-120,1,-349,-155,-9,-16,-8,-181,1,27,-31,-99,-62,253
-276,-40,-6,-350,-203,-128,7,-347,-168,-9,-4,-7,-192,3,37,-32,-108,-77,242
-280,-47,-6,-338,-206,-132,9,-341,-175,-6,5,-2,-196,6,44,-29,-110,-90,234
-277,-53,-6,-327,-204,-132,7,-331,-176,-1,9,4,-194,14,46,-25,-104,-98,231
-268,-58,-3,-318,-198,-127,1,-320,-168,3,9,10,-188,25,43,-22,-90,-99,233
-256,-60,1,-310,-190,-118,-5,-310,-155,6,5,14,-177,32,38,-20,-74,-94,239
-241,-57,4,-305,-179,-105,-11,-302,-139,7,0,15,-163,35,33,-19,-58,-85,247
