Deadline,Party,Lazy,Activity
Urgent,Yes,Yes,Pub
Urgent,No,Yes,Study
Near,Yes,Yes,Pub
None,Yes,No,Pub
None,No,Yes,Pub
None,Yes,No,Pub
Near,No,No,Study
Near,No,Yes,Study
Near,Yes,Yes,Pub
Urgent,No,No,Study
Urgent,Yes,Yes,Study
Urgent,No,Yes,Study
Near,Yes,Yes,Pub
None,Yes,No,Pub
None,No,Yes,Pub
None,Yes,No,Pub
Near,No,No,Study
Near,No,Yes,Study
Near,Yes,Yes,Pub
Urgent,No,No,Study
Urgent,Yes,Yes,Pub
Urgent,No,Yes,Study
Near,Yes,Yes,Pub
None,Yes,No,Pub
None,No,Yes,Pub
None,Yes,No,Pub
Near,No,No,Study
Near,No,Yes,Study
Near,Yes,Yes,Pub
Urgent,No,No,Study
